classifier;iteration;precision;recall;RC;kappa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;11;0,863636364;0,339285714;0,898788326;0,457773847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;12;0,393939394;0,228070175;0,743452159;0,237569061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;12;0,375;0,052631579;0,756757808;0,071325374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;12;0;0;0,734878531;-0,004729309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;12;0,456521739;0,184210526;0,790173572;0,221407625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;12;0,4;0,035087719;0,802227199;0,050458716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;12;0,333333333;0,00877193;0,710063612;0,012445551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;12;0,368421053;0,245614035;0,784010669;0,238845288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;12;0,404761905;0,149122807;0,766560128;0,177286943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;12;0,37037037;0,087719298;0,714581778;0,11057846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;12;0,380434783;0,307017544;0,730177616;0,280846063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;12;0,2;0,5;0,674104921;0,177918983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;12;0,275720165;0,587719298;0,807670773;0,286151705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;12;0,468085106;0,192982456;0,803035959;0,232142291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;12;0,5;0,061403509;0,804591265;0,091126175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;12;0,5;0,026315789;0,715962113;0,041199415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;13;0,618181818;0,234482759;0,834368617;0,296616526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;13;0,458333333;0,075862069;0,808046978;0,101561281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;13;0,5;0,013793103;0,735552085;0,02095072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;13;0,571428571;0,193103448;0,799654572;0,245943068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
