@relation openjpa\Release_21\train
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute N_AUTH numeric
@attribute NR numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FAN_OUT numeric
@attribute METHOD_COMPLEXITY numeric
@attribute IS_BUGGY {'Yes', 'No'}
@data
529,1037,508,1,5,530,207.4,531,498,106.2,21,18,No
30,59,29,1,4,30,14.75,30,27,7.5,0,2,No
206,313,107,1,6,242,52.166666666666664,292,242,48.666666666666664,15,13,No
442,444,2,1,3,444,148.0,446,444,148.66666666666666,7,29,No
213,421,208,1,4,214,105.25,215,201,53.75,4,21,No
138,274,136,1,5,139,54.8,140,127,28.0,9,10,No
625,1047,422,1,9,711,116.33333333333333,863,711,95.88888888888889,31,33,No
52,87,35,2,6,36,14.5,52,33,8.666666666666666,0,1,No
70,73,3,2,3,70,24.333333333333332,70,70,23.333333333333332,1,7,No
68,145,76,2,6,71,24.166666666666668,73,64,12.166666666666666,1,6,No
35,35,0,1,2,35,17.5,35,35,17.5,0,4,No
86,175,88,1,4,88,43.75,89,83,22.25,0,1,No
62,62,0,1,2,62,31.0,62,62,31.0,0,6,No
493,493,0,1,2,493,246.5,493,493,246.5,16,34,No
76,151,75,1,4,76,37.75,76,69,19.0,0,1,No
64,127,63,1,4,64,31.75,64,59,16.0,0,10,No
133,177,44,1,5,132,35.4,147,132,29.4,3,22,Yes
63,123,60,1,4,63,30.75,63,58,15.75,1,10,No
42,86,43,1,4,43,21.5,43,39,10.75,0,1,No
1673,3345,1672,3,9,1610,371.6666666666667,1735,1501,192.77777777777777,113,102,No
93,98,5,2,3,93,32.666666666666664,93,93,31.0,3,11,No
61,135,74,2,5,69,27.0,77,63,15.4,1,8,No
125,125,0,1,2,125,62.5,125,125,62.5,3,14,No
60,60,0,1,1,60,60.0,60,60,60.0,3,11,No
224,445,221,1,4,224,111.25,224,218,56.0,4,30,No
48,48,0,1,2,48,24.0,48,48,24.0,3,4,No
30,59,29,1,4,30,14.75,30,27,7.5,0,2,No
1571,1584,13,2,3,1573,528.0,1575,1573,525.0,108,263,No
278,281,3,1,3,281,93.66666666666667,284,281,94.66666666666667,14,13,No
1067,2216,1149,4,9,1081,246.22222222222223,1117,1024,124.11111111111111,67,35,No
440,908,468,2,6,457,151.33333333333334,474,424,79.0,24,28,No
