Version,File Name,LOC,LOC_added,LOC_deleted,NAuth,NR,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_churn,Fan_Out,Method_Number,Buggy
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ClobValueHandler.java,48,48,0,1,2,48,24.0,48,48,24.0,3,4,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/TypesChangedListener.java,30,59,29,1,4,30,14.75,30,27,7.5,0,2,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,1571,1584,13,2,3,1573,528.0,1575,1573,525.0,108,263,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DataSourceFactory.java,278,281,3,1,3,281,93.66666666666667,284,281,94.66666666666667,14,13,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCDataGenerator.java,1067,2216,1149,4,9,1081,246.22222222222223,1117,1024,124.11111111111111,67,35,No
0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/OpenJPAPersistence.java,440,908,468,2,6,457,151.33333333333334,474,424,79.0,24,28,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataContext.java,29,57,28,1,4,29,14.25,29,26,7.25,0,2,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyDate.java,31,61,30,1,4,31,15.25,31,27,7.75,2,2,No
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/MetaDataIteratorChain.java,105,159,54,1,5,121,31.8,153,121,30.6,6,12,No
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/MetaDataSerializer.java,71,148,77,1,7,76,21.142857142857142,85,76,12.142857142857142,0,9,No
0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/ExternalValues.java,37,74,37,1,4,37,18.5,37,34,9.25,0,1,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/PersistenceAwareClass.java,97,153,56,2,2,122,76.5,147,122,73.5,0,19,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/event/BeanLifecycleCallbacks.java,69,137,68,1,5,70,27.4,71,63,14.2,6,6,No
0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/ElementNonpolymorphic.java,36,36,0,1,2,36,18.0,36,36,18.0,0,1,No
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/BooleanValue.java,67,89,22,1,5,70,17.8,81,70,16.2,0,6,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/CharArrayValueHandler.java,63,63,0,1,2,63,31.5,63,63,31.5,3,6,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseCustomizer.java,160,160,0,1,2,160,80.0,160,160,80.0,2,14,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/CompareExpression.java,82,153,71,2,5,75,30.6,82,68,16.4,0,4,No
0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/SubclassFetchMode.java,34,34,0,1,2,34,17.0,34,34,17.0,0,1,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryResult.java,64,125,61,1,4,64,31.25,64,58,16.0,0,6,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FirebirdDictionary.java,58,58,0,1,2,58,29.0,58,58,29.0,0,4,No
